"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C19","2","2.2 uF","","","","IoT.Gnat.v01a:C0402_B",""
"C2,C3,C4,C6,C11,C17,C21","7","1 uF","","","","IoT.Gnat.v01a:C0402_B",""
"C5,C7,C9,C24,C25","5","4.7 uF","","","","IoT.Gnat.v01a:C0402_B",""
"C8,C13,C16,C18,C20,C22,C27","7","100 nF","","","","IoT.Gnat.v01a:C0402_B",""
"C10","1","10 nF","","","","IoT.Gnat.v01a:C0402_B",""
"C12,C15,C23,C29","4","10 uF","","","","IoT.Gnat.v01a:C0402_B",""
"C14","1","220 nF","","","","IoT.Gnat.v01a:C0402_B",""
"C26","1","2.2 pF","","","","IoT.Gnat.v01a:C0402_B",""
"C28","1","10 nF 25 V","","","","IoT.Gnat.v01a:C0402_B",""
"CONN1,CONN2","2","U.FL-R-SMT-1","","","","IoT.Gnat.v01a:U.FL-R-SMT-1",""
"D1,D2","2","CDSQR4148-HF","","","","IoT.Gnat.v01a:CDSQR4148-HF",""
"D8","1","USBULC6-2N4","","","","IoT.Gnat.v01a:USBULC6-2N4",""
"J1","1","1981584-1","","","","IoT.Gnat.v01a:1981584-1",""
"JP9","1","M02-JST-2-PTH-NO_SILK","","","","IoT.Gnat.v01a:JST-2-PTH-NS",""
"L1,L2,L8,L9","4","FB","","","","IoT.Gnat.v01a:0402",""
"L3","1","27 nH","","","","IoT.Gnat.v01a:0402",""
"L4,L5","2","BLM15H","","","","IoT.Gnat.v01a:0402",""
"R1","1","100K","","","","IoT.Gnat.v01a:R0402_B",""
"R2,R12","2","2K2","","","","IoT.Gnat.v01a:R0402_B",""
"R3,R13,R17,R21,R22","5","100 K","","","","IoT.Gnat.v01a:R0402_B",""
"R4","1","0 K","","","","IoT.Gnat.v01a:R0402_B",""
"R5,R20","2","10 K","","","","IoT.Gnat.v01a:R0402_B",""
"R7,R8,R14","3","4K7","","","","IoT.Gnat.v01a:R0402_B",""
"R9","1","1K","","","","IoT.Gnat.v01a:R0402_B",""
"R10","1","27K 0.5%","","","","IoT.Gnat.v01a:R0402_B",""
"R11","1","100K 0.5%","","","","IoT.Gnat.v01a:R0402_B",""
"R15","1","300 K","","","","IoT.Gnat.v01a:R0402_B",""
"R16","1","10K","","","","IoT.Gnat.v01a:R0402_B",""
"R18","1","2.0K 0.5%","","","","IoT.Gnat.v01a:R0402_B",""
"RA1","1","EXB24V","","","","IoT.Gnat.v01a:EXB24V",""
"RBIAS1","1","10","","","","IoT.Gnat.v01a:R0402_B",""
"RED1,YELLOW1","2","0402LED","","","","IoT.Gnat.v01a:0402LED",""
"U$1,U$3,U$6,U$7,U$8,U$9,U$10,U$11,U$12,U$13","10","HN01","","","","IoT.Gnat.v01a:HN01",""
"U$2","1","JOHANSON0900AT43A0070","","","","IoT.Gnat.v01a:JOHANSON0900AT43A0070",""
"U$4","1","blue","","","","IoT.Gnat.v01a:0402LED",""
"U$5","1","orange","","","","IoT.Gnat.v01a:0402LED",""
"U1","1","VEML6030","","","","IoT.Gnat.v01a:VEML6030",""
"U2","1","MAXM8W","","","","IoT.Gnat.v01a:MAXM8W",""
"U3","1","MCP1810","","","","IoT.Gnat.v01a:MCP1810",""
"U4","1","STBC08","","","","IoT.Gnat.v01a:STBC08",""
"U5","1","MX25R6435F","","","","IoT.Gnat.v01a:MX25R6435F",""
"U6","1","TYPEABZ","","","","IoT.Gnat.v01a:TYPEABZ",""
"U7,U12","2","DMC2990UDJ","","","","IoT.Gnat.v01a:DMC2990UDJ",""
"U8","1","NCP161","","","","IoT.Gnat.v01a:NCP161",""
"U9","1","MS5803","","","","IoT.Gnat.v01a:MS5803",""
"U10","1","LSM303AGR","","","","IoT.Gnat.v01a:LSM303AGR",""
"U11","1","MS5837","","","","IoT.Gnat.v01a:MS5837",""
